Day + Time,TempC,Windspeed(km/h),Windir16Point,WeatherCode,Humidity (%),Visibility (km),Pressure (mb),Cloudcover (%)
2013-02-02 - 0,24,8,ESE,113,66,10,1012,13
2013-02-02 - 300,24,4,NE,116,68,10,1010,7
2013-02-02 - 600,24,6,ENE,113,67,10,1011,12
2013-02-02 - 900,30,3,N,116,50,10,1011,9
2013-02-02 - 1200,35,2,ENE,113,37,10,1010,44
2013-02-02 - 1500,33,8,SE,116,41,10,1008,80
2013-02-02 - 1800,28,8,SE,113,56,10,1010,26
2013-02-03 - 0,25,12,ESE,113,66,10,1012,13
2013-02-03 - 300,24,13,E,113,69,10,1010,7
2013-02-03 - 600,24,14,E,113,69,10,1011,12
2013-02-03 - 900,31,14,ENE,113,46,10,1011,9
2013-02-03 - 1200,36,12,E,116,36,10,1010,44
2013-02-03 - 1500,33,8,ESE,119,43,10,1008,80
2013-02-03 - 1800,29,12,ESE,116,57,10,1010,26
2013-02-04 - 0,26,10,ESE,113,64,10,1012,13
2013-02-04 - 300,25,9,ESE,113,70,10,1010,7
2013-02-04 - 600,25,10,ENE,113,71,10,1011,12
2013-02-04 - 900,32,16,ENE,113,47,10,1011,9
2013-02-04 - 1200,35,12,E,113,37,10,1010,44
2013-02-04 - 1500,34,11,SE,113,42,10,1008,80
2013-02-04 - 1800,29,15,SE,116,61,10,1010,26
2013-02-05 - 0,25,13,ESE,116,74,10,1012,13
2013-02-05 - 300,24,11,E,116,77,10,1010,7
2013-02-05 - 600,25,10,E,113,75,10,1011,12
2013-02-05 - 900,31,6,ENE,113,49,10,1011,9
2013-02-05 - 1200,35,1,NNW,113,39,10,1010,44
2013-02-05 - 1500,34,6,S,116,43,10,1008,80
2013-02-05 - 1800,28,16,SE,116,65,10,1010,26
2013-02-06 - 0,25,12,ESE,116,80,10,1012,13
2013-02-06 - 300,24,5,E,116,83,10,1010,7
2013-02-06 - 600,25,9,E,113,79,10,1011,12
2013-02-06 - 900,31,5,NE,113,56,10,1011,9
2013-02-06 - 1200,34,3,NNE,113,44,10,1010,44
2013-02-06 - 1500,33,5,SSE,116,45,10,1008,80
2013-02-06 - 1800,28,14,SSE,113,65,10,1010,26
2013-02-07 - 0,24,12,SE,113,81,10,1012,13
2013-02-07 - 300,24,7,SE,113,86,10,1010,7
2013-02-07 - 600,24,5,SE,113,84,10,1011,12
2013-02-07 - 900,30,2,ESE,113,59,10,1011,9
2013-02-07 - 1200,35,1,SSW,113,43,10,1010,44
2013-02-07 - 1500,34,5,S,116,45,10,1008,80
2013-02-07 - 1800,27,13,SSE,113,69,10,1010,26
2013-02-08 - 0,24,10,SE,113,84,10,1012,13
2013-02-08 - 300,24,9,SSE,116,88,10,1010,7
2013-02-08 - 600,24,6,SE,116,87,10,1011,12
2013-02-08 - 900,31,5,SE,113,61,10,1011,9
2013-02-08 - 1200,35,5,SE,116,44,10,1010,44
2013-02-08 - 1500,33,14,SE,176,51,9,1008,80
2013-02-08 - 1800,26,15,SE,113,76,10,1010,26
2013-02-09 - 0,24,13,SE,113,82,10,1012,13
2013-02-09 - 300,23,10,ESE,113,84,10,1010,7
2013-02-09 - 600,24,12,E,113,81,10,1011,12
2013-02-09 - 900,29,10,NE,113,56,10,1011,9
2013-02-09 - 1200,34,5,NE,113,44,10,1010,44
2013-02-09 - 1500,34,7,SSE,116,42,10,1008,80
2013-02-09 - 1800,28,15,SSE,113,60,10,1010,26
2013-02-10 - 0,25,6,E,113,74,10,1012,13
2013-02-10 - 300,24,6,NE,113,71,10,1010,7
2013-02-10 - 600,24,6,NE,113,69,10,1011,12
2013-02-10 - 900,30,3,SE,113,50,10,1011,9
2013-02-10 - 1200,33,4,SSE,113,42,10,1010,44
2013-02-10 - 1500,33,8,S,113,42,10,1008,80
2013-02-10 - 1800,27,14,SSE,113,61,10,1010,26
2013-02-11 - 0,24,7,ESE,113,73,10,1012,13
2013-02-11 - 300,23,6,ENE,113,74,10,1010,7
2013-02-11 - 600,24,8,NNE,113,68,10,1011,12
2013-02-11 - 900,30,6,N,113,48,10,1011,9
2013-02-11 - 1200,34,1,NE,116,38,10,1010,44
2013-02-11 - 1500,33,6,SSE,116,41,10,1008,80
2013-02-11 - 1800,28,10,SSE,116,59,10,1010,26
2013-02-12 - 0,25,9,ESE,113,77,10,1012,13
2013-02-12 - 300,24,7,E,113,78,10,1010,7
2013-02-12 - 600,25,9,ENE,113,74,10,1011,12
2013-02-12 - 900,31,6,NE,113,50,10,1011,9
2013-02-12 - 1200,36,2,ENE,113,36,10,1010,44
2013-02-12 - 1500,34,13,SSE,113,39,10,1008,80
2013-02-12 - 1800,27,14,SSE,113,60,10,1010,26
2013-02-13 - 0,24,6,E,113,71,10,1012,13
2013-02-13 - 300,24,10,NNE,113,68,10,1010,7
2013-02-13 - 600,24,10,NNE,113,68,10,1011,12
2013-02-13 - 900,31,5,NE,113,45,10,1011,9
2013-02-13 - 1200,36,6,ENE,113,34,10,1010,44
2013-02-13 - 1500,35,7,SE,113,36,10,1008,80
2013-02-13 - 1800,30,9,SSE,113,53,10,1010,26
2013-02-14 - 0,26,7,ESE,116,69,10,1012,13
2013-02-14 - 300,25,5,ENE,116,71,10,1010,7
2013-02-14 - 600,26,5,NE,116,70,10,1011,12
2013-02-14 - 900,32,5,NNE,116,48,10,1011,9
2013-02-14 - 1200,36,4,ESE,116,37,10,1010,44
2013-02-14 - 1500,35,8,SE,116,40,10,1008,80
2013-02-14 - 1800,28,17,SE,113,65,10,1010,26
2013-02-15 - 0,25,11,ESE,113,75,10,1012,13
2013-02-15 - 300,24,8,ENE,113,77,10,1010,7
2013-02-15 - 600,25,9,ENE,113,73,10,1011,12
2013-02-15 - 900,31,6,NE,113,50,10,1011,9
2013-02-15 - 1200,36,4,ESE,113,37,10,1010,44
2013-02-15 - 1500,35,14,SSE,113,38,10,1008,80
2013-02-15 - 1800,28,14,SE,113,59,10,1010,26
2013-02-16 - 0,25,11,ESE,113,71,10,1012,13
2013-02-16 - 300,24,11,NE,113,72,10,1010,7
2013-02-16 - 600,25,10,NE,113,68,10,1011,12
2013-02-16 - 900,31,8,NNE,113,47,10,1011,9
2013-02-16 - 1200,36,4,E,113,32,10,1010,44
2013-02-16 - 1500,35,8,SSE,113,34,10,1008,80
2013-02-16 - 1800,29,12,SSE,113,57,10,1010,26
2013-02-17 - 0,26,9,E,113,68,10,1012,13
2013-02-17 - 300,24,8,E,113,70,10,1010,7
2013-02-17 - 600,25,5,ENE,113,69,10,1011,12
2013-02-17 - 900,31,6,ENE,113,46,10,1011,9
2013-02-17 - 1200,36,5,ESE,113,30,10,1010,44
2013-02-17 - 1500,34,13,SE,113,32,10,1008,80
2013-02-17 - 1800,28,14,SE,113,54,10,1010,26
2013-02-18 - 0,23,12,SE,113,71,10,1012,13
2013-02-18 - 300,22,11,E,113,71,10,1010,7
2013-02-18 - 600,22,13,E,113,67,10,1011,12
2013-02-18 - 900,31,10,ENE,113,39,10,1011,9
2013-02-18 - 1200,36,7,ENE,113,28,10,1010,44
2013-02-18 - 1500,34,8,SSE,113,31,10,1008,80
2013-02-18 - 1800,27,15,SSE,113,60,10,1010,26
2013-02-19 - 0,24,11,SE,113,80,10,1012,13
2013-02-19 - 300,23,9,ESE,113,82,10,1010,7
2013-02-19 - 600,23,14,ENE,113,74,10,1011,12
2013-02-19 - 900,31,10,ENE,113,45,10,1011,9
2013-02-19 - 1200,36,5,ENE,113,33,10,1010,44
2013-02-19 - 1500,34,9,SSE,113,34,10,1008,80
2013-02-19 - 1800,28,15,SSE,113,58,10,1010,26
2013-02-20 - 0,24,10,SE,113,78,10,1012,13
2013-02-20 - 300,23,5,SE,116,80,10,1010,7
2013-02-20 - 600,24,7,E,116,75,10,1011,12
2013-02-20 - 900,29,6,NNE,113,53,10,1011,9
2013-02-20 - 1200,34,6,NNE,113,38,10,1010,44
2013-02-20 - 1500,34,5,SSE,113,34,10,1008,80
2013-02-20 - 1800,28,12,SSE,113,56,10,1010,26
2013-02-21 - 0,24,4,E,113,75,10,1012,13
2013-02-21 - 300,23,7,N,116,73,10,1010,7
2013-02-21 - 600,23,8,NNE,113,69,10,1011,12
2013-02-21 - 900,30,3,NNE,113,46,10,1011,9
2013-02-21 - 1200,35,3,NW,116,31,10,1010,44
2013-02-21 - 1500,34,3,W,116,31,10,1008,80
2013-02-21 - 1800,28,8,SE,116,55,10,1010,26
2013-02-22 - 0,25,2,W,116,66,10,1012,13
2013-02-22 - 300,25,2,WNW,116,65,10,1010,7
2013-02-22 - 600,24,10,NE,119,71,10,1011,12
2013-02-22 - 900,24,8,NE,299,81,8,1011,9
2013-02-22 - 1200,25,8,N,119,77,10,1010,44
2013-02-22 - 1500,25,10,NNW,296,80,9,1008,80
2013-02-22 - 1800,24,9,N,116,82,10,1010,26
2013-02-23 - 0,23,10,NNE,116,86,10,1012,13
2013-02-23 - 300,22,8,N,116,86,10,1010,7
2013-02-23 - 600,23,9,N,113,81,10,1011,12
2013-02-23 - 900,28,8,N,116,63,10,1011,9
2013-02-23 - 1200,32,4,NNE,119,48,10,1010,44
2013-02-23 - 1500,31,9,NNE,353,52,10,1008,80
2013-02-23 - 1800,27,10,NNE,116,65,10,1010,26
2013-02-24 - 0,25,10,NNE,119,77,10,1012,13
2013-02-24 - 300,25,9,NNE,116,76,10,1010,7
2013-02-24 - 600,25,8,NE,116,75,10,1011,12
2013-02-24 - 900,31,9,NE,116,55,10,1011,9
2013-02-24 - 1200,35,4,NE,116,43,10,1010,44
2013-02-24 - 1500,33,4,E,176,47,9,1008,80
2013-02-24 - 1800,29,11,SE,116,66,10,1010,26
2013-02-25 - 0,26,9,E,113,76,10,1012,13
2013-02-25 - 300,24,8,ENE,113,80,10,1010,7
2013-02-25 - 600,25,8,NE,113,78,10,1011,12
2013-02-25 - 900,31,8,ENE,113,50,10,1011,9
2013-02-25 - 1200,36,10,E,113,36,10,1010,44
2013-02-25 - 1500,35,15,SE,113,38,10,1008,80
2013-02-25 - 1800,29,15,SE,113,59,10,1010,26
2013-02-26 - 0,26,12,E,113,67,10,1012,13
2013-02-26 - 300,25,9,E,113,69,10,1010,7
2013-02-26 - 600,26,10,ENE,113,66,10,1011,12
2013-02-26 - 900,32,10,NE,113,44,10,1011,9
2013-02-26 - 1200,36,10,E,116,35,10,1010,44
2013-02-26 - 1500,35,17,SE,116,38,10,1008,80
2013-02-26 - 1800,29,18,SE,116,60,10,1010,26
2013-02-27 - 0,26,15,ESE,113,68,10,1012,13
2013-02-27 - 300,25,13,E,113,70,10,1010,7
2013-02-27 - 600,26,13,E,113,69,10,1011,12
2013-02-27 - 900,33,14,E,113,44,10,1011,9
2013-02-27 - 1200,37,14,ESE,113,34,10,1010,44
2013-02-27 - 1500,35,21,SE,113,38,10,1008,80
2013-02-27 - 1800,28,18,SE,113,66,10,1010,26
2013-03-01 - 0,25,12,SE,113,82,10,1013,15
2013-03-01 - 300,24,10,SE,113,85,10,1012,11
2013-03-01 - 600,25,14,ESE,113,80,10,1014,6
2013-03-01 - 900,32,14,ESE,113,52,10,1014,8
2013-03-01 - 1200,36,11,ESE,116,38,10,1012,26
2013-03-01 - 1500,34,15,SSE,113,45,10,1009,46
2013-03-01 - 1800,28,14,SE,113,69,10,1012,44
2013-03-02 - 0,25,12,ESE,113,82,10,1013,15
2013-03-02 - 300,24,10,ESE,113,84,10,1012,11
2013-03-02 - 600,25,13,ESE,113,80,10,1014,6
2013-03-02 - 900,32,12,ESE,113,49,10,1014,8
2013-03-02 - 1200,37,15,ESE,113,32,10,1012,26
2013-03-02 - 1500,35,22,SE,113,37,10,1009,46
2013-03-02 - 1800,28,15,SSE,113,68,10,1012,44
2013-03-03 - 0,25,13,SE,116,83,10,1013,15
2013-03-03 - 300,24,10,E,113,83,10,1012,11
2013-03-03 - 600,25,9,ENE,113,78,10,1014,6
2013-03-03 - 900,32,8,NE,113,50,10,1014,8
2013-03-03 - 1200,37,5,E,113,32,10,1012,26
2013-03-03 - 1500,35,13,SSE,113,37,10,1009,46
2013-03-03 - 1800,28,14,SSE,113,62,10,1012,44
2013-03-04 - 0,26,7,ENE,113,75,10,1013,15
2013-03-04 - 300,25,5,NE,176,78,9,1012,11
2013-03-04 - 600,25,8,ENE,113,73,10,1014,6
2013-03-04 - 900,32,5,E,113,48,10,1014,8
2013-03-04 - 1200,35,3,SSE,116,37,10,1012,26
2013-03-04 - 1500,34,2,SSE,116,40,10,1009,46
2013-03-04 - 1800,30,10,ESE,116,55,10,1012,44
2013-03-05 - 0,25,5,ENE,113,69,10,1013,15
2013-03-05 - 300,24,6,NNE,113,70,10,1012,11
2013-03-05 - 600,24,8,NE,113,69,10,1014,6
2013-03-05 - 900,31,4,NE,113,49,10,1014,8
2013-03-05 - 1200,35,2,SSE,113,35,10,1012,26
2013-03-05 - 1500,34,11,SSE,113,36,10,1009,46
2013-03-05 - 1800,28,13,SSE,113,57,10,1012,44
2013-03-06 - 0,26,5,ENE,113,68,10,1013,15
2013-03-06 - 300,25,6,N,113,68,10,1012,11
2013-03-06 - 600,25,6,N,113,65,10,1014,6
2013-03-06 - 900,32,2,NW,113,45,10,1014,8
2013-03-06 - 1200,35,5,SSW,113,34,10,1012,26
2013-03-06 - 1500,34,11,SSE,113,34,10,1009,46
2013-03-06 - 1800,28,15,SSE,113,56,10,1012,44
2013-03-07 - 0,26,10,ESE,116,73,10,1013,15
2013-03-07 - 300,25,5,ENE,113,74,10,1012,11
2013-03-07 - 600,26,6,NNE,113,69,10,1014,6
2013-03-07 - 900,31,10,N,113,49,10,1014,8
2013-03-07 - 1200,36,3,NNW,116,35,10,1012,26
2013-03-07 - 1500,35,10,SE,113,37,10,1009,46
2013-03-07 - 1800,29,15,SE,113,60,10,1012,44
2013-03-08 - 0,26,5,ESE,113,71,10,1013,15
2013-03-08 - 300,25,5,NE,113,73,10,1012,11
2013-03-08 - 600,26,5,NE,113,68,10,1014,6
2013-03-08 - 900,31,5,N,113,51,10,1014,8
2013-03-08 - 1200,36,2,N,116,34,10,1012,26
